Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1409090552,0,316.444816054,NaN,NaN,NaN,0,0,0
1409090554,NaN,NaN,NaN,10,0,0,0,0
1409090851,NaN,NaN,NaN,0,86.0357142857,0,0,0
1409090852,0,311.792358804,NaN,NaN,NaN,0,0,0
1409091152,0,341.597324415,NaN,10,0,0,0,0
1409091452,0,283.299335548,NaN,NaN,NaN,0,0,0
1409091453,NaN,NaN,NaN,10,0,0,0,0
1409091752,0,218.644333333,NaN,NaN,NaN,0,0,0
1409091754,NaN,NaN,NaN,10,0,0,0,0
1409092051,0,218.521,NaN,NaN,NaN,0,0,0
1409092056,NaN,NaN,NaN,10,0,0,0,0
1409092351,0,266.682,NaN,NaN,NaN,0,0,0
1409092352,NaN,NaN,NaN,10,0,0,0,0
1409092649,NaN,NaN,NaN,10,0,0,0,0
1409092651,0,259.223076923,NaN,NaN,NaN,0,0,0
1409092950,NaN,NaN,NaN,10,0,0,0,0
1409092951,0,218.426245847,NaN,NaN,NaN,0,0,0
1409093251,0,218.575,NaN,10,0,0,0,0
1409093551,0,275.622,NaN,NaN,NaN,0,0,0
1409093553,NaN,NaN,NaN,10,0,0,0,0
1409093851,0,256.856,NaN,NaN,NaN,0,0,0
1409093854,NaN,NaN,NaN,206.428571429,0,0,0,0
1409094151,0,217.167333333,NaN,NaN,NaN,0,0,0
1409094155,NaN,NaN,NaN,0,86.0357142857,0,0,0
1409094451,0,217.684666667,NaN,NaN,NaN,0,0,0
1409094456,NaN,NaN,NaN,0,179.785714286,0,0,0
1409094751,0,286.698333333,NaN,10,0,0,0,0
1409095048,NaN,NaN,NaN,10,0,0,0,0
1409095051,0,306.297666667,NaN,NaN,NaN,0,0,0
1409095349,NaN,NaN,NaN,0,753.607142857,0,0,0
1409095351,0,316.440666667,NaN,NaN,NaN,0,0,0
1409095650,NaN,NaN,NaN,10,0,0,0,0
1409095652,0,316.576744186,NaN,NaN,NaN,0,0,0
1409095951,NaN,NaN,NaN,10,0,0,0,0
1409095952,0,372.451505017,NaN,NaN,NaN,0,0,0
1409096251,0,317.514666667,NaN,NaN,NaN,0,0,0
1409096252,NaN,NaN,NaN,10,0,0,0,0
1409096552,0,218.249833887,NaN,NaN,NaN,0,0,0
1409096553,NaN,NaN,NaN,10,0,0,0,0
1409096852,0,228.807333333,NaN,NaN,NaN,0,0,0
1409096854,NaN,NaN,NaN,10,0,0,0,0
1409097151,0,281.583946488,NaN,NaN,NaN,0,0,0
1409097155,NaN,NaN,NaN,0,86.0357142857,0,0,0
1409097451,0,238.404966887,NaN,NaN,NaN,0,0,0
1409097456,NaN,NaN,NaN,10,0,0,0,0
1409097752,0,219.328428094,NaN,NaN,NaN,0,0,0
1409097753,NaN,NaN,NaN,10,0,0,0,0
1409098049,NaN,NaN,NaN,10,0,0,0,0
1409098051,0,236.933666667,NaN,NaN,NaN,0,0,0
1409098350,NaN,NaN,NaN,10,0,0,0,0
1409098351,0,295.514333333,NaN,NaN,NaN,0,0,0
1409098651,0,248.023,NaN,10,0,0,0,0
1409098951,0,220.56,NaN,NaN,NaN,0,0,0
1409098952,NaN,NaN,NaN,10,0,0,0,0
1409099251,0,247.182,NaN,NaN,NaN,0,0,0
1409099253,NaN,NaN,NaN,10,0,0,0,0
1409099551,0,282.451333333,NaN,NaN,NaN,0,0,0
1409099554,NaN,NaN,NaN,10,0,0,0,0
1409099851,0,227.422666667,NaN,NaN,NaN,0,0,0
1409099855,NaN,NaN,NaN,10,0,0,0,0
1409100151,0,291.936333333,NaN,NaN,NaN,0,0,0
1409100157,NaN,NaN,NaN,10,0,0,0,0
1409100451,0,343.324666667,NaN,NaN,NaN,0,0,0
1409100453,NaN,NaN,NaN,10,0,0,0,0
1409100749,NaN,NaN,NaN,10,0,0,0,0
1409100752,0,377.225913621,NaN,NaN,NaN,0,0,0
1409101050,NaN,NaN,NaN,10,0,0,0,0
1409101052,0,310.836,NaN,NaN,NaN,0,0,0
1409101351,NaN,NaN,NaN,0,659.857142857,0,0,0
1409101352,0,286.391973244,NaN,NaN,NaN,0,0,0
1409101651,0,262.613666667,NaN,NaN,NaN,0,0,0
1409101653,NaN,NaN,NaN,0,1227,0,0,0
1409101951,0,267.397674419,NaN,NaN,NaN,0,0,0
1409101954,NaN,NaN,NaN,10,0,0,0,0
1409102251,0,218.591666667,NaN,NaN,NaN,0,0,0
1409102254,NaN,NaN,NaN,10,0,0,0,0
1409102551,0,218.469666667,NaN,NaN,NaN,0,0,0
1409102556,NaN,NaN,NaN,10,0,0,0,0
1409102851,0,274.914381271,NaN,0,490.148148148,0,0,0
1409103148,NaN,NaN,NaN,10,0,0,0,0
1409103151,0,251.794684385,NaN,NaN,NaN,0,0,0
1409103449,NaN,NaN,NaN,10,0,0,0,0
1409103451,0,217.340666667,NaN,NaN,NaN,0,0,0
1409103750,NaN,NaN,NaN,0,367.357142857,0,0,0
1409103751,0,225.004666667,NaN,NaN,NaN,0,0,0
1409104051,0,281.259,NaN,10,0,0,0,0
1409104351,0,245.464333333,NaN,NaN,NaN,0,0,0
1409104352,NaN,NaN,NaN,10,0,0,0,0
1409104651,0,217.776666667,NaN,NaN,NaN,0,0,0
1409104654,NaN,NaN,NaN,10,0,0,0,0
1409104952,0,229.150166113,NaN,NaN,NaN,0,0,0
1409104955,NaN,NaN,NaN,0,659.857142857,0,0,0
1409105252,0,324.848494983,NaN,NaN,NaN,0,0,0
1409105255,NaN,NaN,NaN,10,0,0,0,0
1409105551,0,332.379,NaN,10,0,0,0,0
1409105847,NaN,NaN,NaN,10,0,0,0,0
1409105851,0,313.453666667,NaN,NaN,NaN,0,0,0
1409106149,NaN,NaN,NaN,10,0,0,0,0
1409106151,0,349.626666667,NaN,NaN,NaN,0,0,0
1409106450,NaN,NaN,NaN,0,463.392857143,0,0,0
1409106452,0,381.808305648,NaN,NaN,NaN,0,0,0
1409106751,NaN,NaN,NaN,0,367.357142857,0,0,0
1409106752,0,274.084333333,NaN,NaN,NaN,0,0,0
1409107051,0,2259.10167224,NaN,NaN,NaN,0,0,0
1409107052,NaN,NaN,NaN,112.642857143,0,0,0,0
1409107351,0,2366.20830565,NaN,NaN,NaN,0,0,0
1409107353,NaN,NaN,NaN,0,273.571428571,0,0,0
1409107651,0,2399.30166667,NaN,NaN,NaN,0,0,0
1409107654,NaN,NaN,NaN,10,0,0,0,0
1409107951,0,1495.86866667,NaN,NaN,NaN,0,0,0
1409107955,NaN,NaN,NaN,10,0,0,0,0
1409108252,0,1605.72724252,NaN,NaN,NaN,0,0,0
1409108257,NaN,NaN,NaN,0,753.607142857,0,0,0
1409108552,0,1340.190301,NaN,NaN,NaN,0,0,0
1409108553,NaN,NaN,NaN,10,0,0,0,0
1409108849,NaN,NaN,NaN,0,1028.28571429,0,0,0
1409108851,0,1481.4819398,NaN,NaN,NaN,0,0,0
1409109150,NaN,NaN,NaN,10,0,0,0,0
1409109151,0,1437.30830565,NaN,NaN,NaN,0,0,0
1409109451,0,495.309666667,NaN,10,0,0,0,0
1409109751,0,565.700666667,NaN,NaN,NaN,0,0,0
1409109752,NaN,NaN,NaN,10,0,0,0,0
1409110052,0,1959.20598007,NaN,NaN,NaN,0,0,0
1409110053,NaN,NaN,NaN,10,0,0,0,0
1409110352,0,2440.13110368,NaN,NaN,NaN,0,0,0
1409110354,NaN,NaN,NaN,10,0,0,0,0
1409110651,0,958.497333333,NaN,NaN,NaN,0,0,0
1409110655,NaN,NaN,NaN,10,0,0,0,0
1409110951,0,910.134666667,NaN,NaN,NaN,0,0,0
1409110956,NaN,NaN,NaN,0,347.285714286,0,0,0
1409111251,0,603.941333333,NaN,NaN,NaN,0,0,0
1409111253,NaN,NaN,NaN,0,272.518518519,0,0,0
1409111549,NaN,NaN,NaN,10,0,0,0,0
1409111551,0,505.007333333,NaN,NaN,NaN,0,0,0
1409111850,NaN,NaN,NaN,0,849.821428571,0,0,0
1409111851,0,592.101333333,NaN,NaN,NaN,0,0,0
1409112151,NaN,NaN,NaN,0,693.428571429,0,0,0
1409112152,0,601.682724252,NaN,NaN,NaN,0,0,0
1409112451,0,538.273578595,NaN,NaN,NaN,0,0,0
1409112452,NaN,NaN,NaN,10,0,0,0,0
1409112751,0,480.658803987,NaN,NaN,NaN,0,0,0
1409112753,NaN,NaN,NaN,0,438.821428571,0,0,0
1409112915,NaN,NaN,0,NaN,NaN,0,0,0
1409113051,0,385.227666667,NaN,NaN,NaN,0,0,0
1409113055,NaN,NaN,NaN,0,992.535714286,0,0,0
1409113351,0,406.909333333,NaN,NaN,NaN,0,0,0
1409113356,NaN,NaN,NaN,0,438.821428571,0,0,0
1409113651,0,421.242666667,NaN,10,0,0,0,0
1409113818,NaN,NaN,0,NaN,NaN,0,0,0
1409113948,NaN,NaN,NaN,10,0,0,0,0
1409113951,0,428.536666667,NaN,NaN,NaN,0,0,0
1409114110,NaN,NaN,0,NaN,NaN,0,0,0
1409114249,NaN,NaN,NaN,10,0,0,0,0
1409114251,0,449.203666667,NaN,NaN,NaN,0,0,0
1409114418,NaN,NaN,0,NaN,NaN,0,0,0
1409114550,NaN,NaN,NaN,0,1142.14285714,0,0,0
1409114551,0,476.773666667,NaN,NaN,NaN,0,0,0
1409114728,NaN,NaN,72,NaN,NaN,0,0,0
1409114851,0,451.360333333,NaN,NaN,NaN,0,0,0
1409114852,NaN,NaN,NaN,0,369.607142857,0,0,0
1409115020,NaN,NaN,82,NaN,NaN,0,0,0
1409115151,0,392.159,NaN,NaN,NaN,0,0,0
1409115153,NaN,NaN,NaN,10,0,0,0,0
1409115313,NaN,NaN,99,NaN,NaN,0,0,0
1409115451,0,378.917,NaN,NaN,NaN,0,0,0
1409115454,NaN,NaN,NaN,414.071428571,0,0,0,0
1409115617,NaN,NaN,117,NaN,NaN,0,0,0
1409115752,0,404.996345515,NaN,NaN,NaN,0,0,0
1409115756,NaN,NaN,NaN,10,0,0,0,0
1409115916,NaN,NaN,123,NaN,NaN,0,0,0
1409116052,0,312.004682274,NaN,10,0,0,0,0
1409116210,NaN,NaN,130,NaN,NaN,0,0,0
1409116348,NaN,NaN,NaN,811.464285714,0,0,0,0
1409116352,0,281.311627907,NaN,NaN,NaN,0,0,0
1409116519,NaN,NaN,144,NaN,NaN,0,0,0
1409116649,NaN,NaN,NaN,615.035714286,0,0,0,0
1409116652,0,755.676333333,NaN,NaN,NaN,0,0,0
1409116810,NaN,NaN,139,NaN,NaN,0,0,0
1409116950,NaN,NaN,NaN,0,731.285714286,0,0,0
1409116952,0,379.865666667,NaN,NaN,NaN,0,0,0
1409117111,NaN,NaN,157,NaN,NaN,0,0,0
1409117251,NaN,NaN,NaN,0,1160.07142857,0,0,0
1409117252,0,285.375250836,NaN,NaN,NaN,0,0,0
1409117412,NaN,NaN,177,NaN,NaN,0,0,0
1409117551,0,194.535548173,NaN,NaN,NaN,0,0,0
1409117552,NaN,NaN,NaN,10,0,0,0,0
1409117711,NaN,NaN,214,NaN,NaN,0,0,0
1409117851,4.97833333333,108.617,NaN,NaN,NaN,0,0,0
1409117854,NaN,NaN,NaN,0,32.5,0,0,0
1409118012,NaN,NaN,257,NaN,NaN,0,0,0
1409118151,0.456666666667,68.537,NaN,NaN,NaN,0,0,0
1409118155,NaN,NaN,NaN,1925.46428571,0,0,0,0
1409118325,NaN,NaN,358,NaN,NaN,0,0,0
1409118452,0,82.8342192691,NaN,NaN,NaN,0,0,0
1409118456,NaN,NaN,NaN,0,356.178571429,0,0,0
1409118619,NaN,NaN,327,NaN,NaN,0,0,0
1409118752,0,50.6939799331,NaN,NaN,NaN,0,0,0
1409118753,NaN,NaN,NaN,10,0,0,0,0
1409118917,NaN,NaN,387,NaN,NaN,0,0,0
1409119049,NaN,NaN,NaN,322.535714286,0,0,0,0
1409119051,0,29.0983333333,NaN,NaN,NaN,0,0,0
1409119212,NaN,NaN,358,NaN,NaN,0,0,0
1409119350,NaN,NaN,NaN,10,0,0,0,0
1409119351,8.52333333333,846.91,NaN,NaN,NaN,0,0,0
1409119512,NaN,NaN,377,NaN,NaN,0,0,0
1409119651,0,1292.61566667,NaN,10,0,0,0,0
1409119826,NaN,NaN,405,NaN,NaN,0,0,0
1409119951,0,1361.77933333,NaN,NaN,NaN,0,0,0
1409119952,NaN,NaN,NaN,10,0,0,0,0
1409120110,NaN,NaN,346,NaN,NaN,0,0,0
1409120252,0,1481.39468439,NaN,NaN,NaN,0,0,0
1409120253,NaN,NaN,NaN,10,0,0,0,0
1409120415,NaN,NaN,278,NaN,NaN,0,0,0
