Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1407880952,7.43244147157,4.37859531773,NaN,NaN,NaN,0,0,0
1407880957,NaN,NaN,NaN,0,207.857142857,0,0,0
1407881251,4.75466666667,8.65966666667,NaN,NaN,NaN,0,0,0
1407881253,NaN,NaN,NaN,0,197.407407407,0,0,0
1407881550,NaN,NaN,NaN,0,183.928571429,0,0,0
1407881551,5.38,5.58566666667,NaN,NaN,NaN,0,0,0
1407881851,4.524,5.546,NaN,0,111.428571429,0,0,0
1407882151,4.223,6.08666666667,NaN,NaN,NaN,0,0,0
1407882153,NaN,NaN,NaN,0,113.928571429,0,0,0
1407882451,4.61266666667,5.53966666667,NaN,NaN,NaN,0,0,0
1407882455,NaN,NaN,NaN,0,113.214285714,0,0,0
1407882752,5.28405315615,6.45249169435,NaN,NaN,NaN,0,0,0
1407882756,NaN,NaN,NaN,0,117.5,0,0,0
1407883052,3.744,5.89866666667,NaN,NaN,NaN,0,0,0
1407883053,NaN,NaN,NaN,0,108.888888889,0,0,0
1407883349,NaN,NaN,NaN,0,107.5,0,0,0
1407883352,3.85953177258,5.35819397993,NaN,NaN,NaN,0,0,0
1407883651,5.30933333333,4.22633333333,NaN,0,111.428571429,0,0,0
1407883952,4.44717607973,6.60431893688,NaN,0,110.714285714,0,0,0
1407884252,5.61766666667,5.39,NaN,NaN,NaN,0,0,0
1407884254,NaN,NaN,NaN,0,109.642857143,0,0,0
1407884552,5.20366666667,4.56733333333,NaN,NaN,NaN,0,0,0
1407884556,NaN,NaN,NaN,0,107.142857143,0,0,0
1407884851,3.45,6.107,NaN,NaN,NaN,0,0,0
1407884852,NaN,NaN,NaN,0,107.037037037,0,0,0
1407885148,NaN,NaN,NaN,0,125.714285714,0,0,0
1407885151,8.03946488294,12.3324414716,NaN,NaN,NaN,0,0,0
1407885450,NaN,NaN,NaN,0,221.428571429,0,0,0
1407885451,4.26511627907,5.22624584718,NaN,NaN,NaN,0,0,0
1407885751,4.14,5.10633333333,NaN,NaN,NaN,0,0,0
1407885752,NaN,NaN,NaN,0,226.071428571,0,0,0
1407886051,3.96666666667,4.76966666667,NaN,NaN,NaN,0,0,0
1407886053,NaN,NaN,NaN,0,223.928571429,0,0,0
1407886351,5.26066666667,6.12433333333,NaN,NaN,NaN,0,0,0
1407886355,NaN,NaN,NaN,0,216.071428571,0,0,0
1407886651,4.242,5.266,NaN,0,199.259259259,0,0,0
1407886948,NaN,NaN,NaN,0,165.714285714,0,0,0
1407886951,5.392,6.00133333333,NaN,NaN,NaN,0,0,0
1407887250,NaN,NaN,NaN,0,111.785714286,0,0,0
1407887251,4.14166666667,5.65866666667,NaN,NaN,NaN,0,0,0
1407887551,4.13533333333,5.96033333333,NaN,NaN,NaN,0,0,0
1407887552,NaN,NaN,NaN,0,109.285714286,0,0,0
1407887852,4.84119601329,5.76810631229,NaN,NaN,NaN,0,0,0
1407887853,NaN,NaN,NaN,0,109.642857143,0,0,0
1407888152,7.29333333333,4.587,NaN,NaN,NaN,0,0,0
1407888155,NaN,NaN,NaN,0,112.857142857,0,0,0
1407888452,3.82033333333,5.91,NaN,NaN,NaN,0,0,0
1407888456,NaN,NaN,NaN,0,110.357142857,0,0,0
1407888752,4.87533333333,6.33666666667,NaN,NaN,NaN,0,0,0
1407888753,NaN,NaN,NaN,0,106.296296296,0,0,0
1407889049,NaN,NaN,NaN,0,108.571428571,0,0,0
1407889052,5.133,7.94266666667,NaN,NaN,NaN,0,0,0
1407889351,NaN,NaN,NaN,0,107.857142857,0,0,0
1407889352,4.23712374582,5.37056856187,NaN,NaN,NaN,0,0,0
1407889651,3.99302325581,6.07508305648,NaN,NaN,NaN,0,0,0
1407889653,NaN,NaN,NaN,0,104.642857143,0,0,0
1407889951,4.82966666667,4.078,NaN,NaN,NaN,0,0,0
1407889954,NaN,NaN,NaN,0,111.785714286,0,0,0
1407890251,4.011,5.50433333333,NaN,NaN,NaN,0,0,0
1407890256,NaN,NaN,NaN,0,109.642857143,0,0,0
1407890551,7.72766666667,9.97,NaN,NaN,NaN,0,0,0
1407890553,NaN,NaN,NaN,0,131.481481481,0,0,0
1407890849,NaN,NaN,NaN,0,210.714285714,0,0,0
1407890851,5.681,5.77366666667,NaN,NaN,NaN,0,0,0
1407891151,4.39266666667,5.75733333333,NaN,0,209.285714286,0,0,0
1407891451,4.27466666667,6.13433333333,NaN,NaN,NaN,0,0,0
1407891452,NaN,NaN,NaN,0,201.071428571,0,0,0
1407891751,5.854,6.16533333333,NaN,NaN,NaN,0,0,0
1407891754,NaN,NaN,NaN,0,199.285714286,0,0,0
1407892051,5.276,5.38333333333,NaN,NaN,NaN,0,0,0
1407892055,NaN,NaN,NaN,0,196.428571429,0,0,0
1407892351,4.206,5.75866666667,NaN,NaN,NaN,0,0,0
1407892352,NaN,NaN,NaN,0,148.518518519,0,0,0
1407892648,NaN,NaN,NaN,0,103.571428571,0,0,0
1407892651,5.12333333333,5.973,NaN,NaN,NaN,0,0,0
1407892950,NaN,NaN,NaN,0,108.571428571,0,0,0
1407892951,4.895,6.12066666667,NaN,NaN,NaN,0,0,0
1407893251,4.14366666667,5.62,NaN,NaN,NaN,0,0,0
1407893252,NaN,NaN,NaN,0,110.714285714,0,0,0
1407893551,4.27766666667,5.714,NaN,NaN,NaN,0,0,0
1407893553,NaN,NaN,NaN,0,109.642857143,0,0,0
1407893852,4.31993355482,4.95714285714,NaN,NaN,NaN,0,0,0
1407893855,NaN,NaN,NaN,0,110.357142857,0,0,0
1407894151,NaN,NaN,NaN,0,108.888888889,0,0,0
1407894152,4.10468227425,4.81036789298,NaN,NaN,NaN,0,0,0
1407894448,NaN,NaN,NaN,0,104.285714286,0,0,0
1407894452,5.12857142857,6.4584717608,NaN,NaN,NaN,0,0,0
1407894750,NaN,NaN,NaN,0,106.785714286,0,0,0
1407894752,4.13177257525,5.41739130435,NaN,NaN,NaN,0,0,0
1407895051,4.01395348837,5.86279069767,NaN,NaN,NaN,0,0,0
1407895052,NaN,NaN,NaN,0,107.857142857,0,0,0
1407895351,4.83733333333,5.35266666667,NaN,NaN,NaN,0,0,0
