Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1408226552,6.86333333333,5.872,NaN,NaN,NaN,0,0,0
1408226554,NaN,NaN,NaN,0,510.37037037,0,0,0
1408226852,5.62608695652,6.99096989967,NaN,NaN,NaN,0,0,0
1408226855,NaN,NaN,NaN,0,508.076923077,0,0,0
1408227152,5.60631229236,6.28338870432,NaN,NaN,NaN,0,0,0
1408227154,NaN,NaN,NaN,0,510,0,0,0
1408227452,4.9525083612,5.58996655518,NaN,0,499.285714286,0,0,0
1408227751,3.65066666667,6.74333333333,NaN,NaN,NaN,0,0,0
1408227753,NaN,NaN,NaN,0,514.285714286,0,0,0
1408228052,4.6219269103,6.02126245847,NaN,NaN,NaN,0,0,0
1408228054,NaN,NaN,NaN,0,569.285714286,0,0,0
1408228352,7.802,9.65133333333,NaN,NaN,NaN,0,0,0
1408228355,NaN,NaN,NaN,0,636.071428571,0,0,0
1408228651,NaN,NaN,NaN,0,604.814814815,0,0,0
1408228652,4.68193979933,7.20836120401,NaN,NaN,NaN,0,0,0
1408228948,NaN,NaN,NaN,0,602.142857143,0,0,0
1408228951,4.67973421927,5.26312292359,NaN,NaN,NaN,0,0,0
1408229249,NaN,NaN,NaN,0,598.571428571,0,0,0
1408229251,4.46488294314,5.41237458194,NaN,NaN,NaN,0,0,0
1408229550,NaN,NaN,NaN,0,595.357142857,0,0,0
1408229551,4.7219269103,4.97209302326,NaN,NaN,NaN,0,0,0
1408229851,5.54166666667,6.83966666667,NaN,0,571.785714286,0,0,0
1408230151,7.945,7.38766666667,NaN,NaN,NaN,0,0,0
1408230152,NaN,NaN,NaN,0,540.357142857,0,0,0
1408230451,5.775,9.546,NaN,NaN,NaN,0,0,0
1408230453,NaN,NaN,NaN,0,619.285714286,0,0,0
1408230751,10.506,9.657,NaN,NaN,NaN,0,0,0
1408230755,NaN,NaN,NaN,0,558.214285714,0,0,0
1408231051,4.29866666667,4.747,NaN,NaN,NaN,0,0,0
1408231056,NaN,NaN,NaN,0,462.5,0,0,0
1408231351,4.34866666667,6.734,NaN,NaN,NaN,0,0,0
1408231352,NaN,NaN,NaN,0,461.481481481,0,0,0
1408231648,NaN,NaN,NaN,0,462.857142857,0,0,0
1408231651,5.00566666667,5.68033333333,NaN,NaN,NaN,0,0,0
1408231949,NaN,NaN,NaN,0,461.428571429,0,0,0
1408231951,5.68966666667,6.89133333333,NaN,NaN,NaN,0,0,0
1408232250,NaN,NaN,NaN,0,462.142857143,0,0,0
1408232252,5.46710963455,5.39933554817,NaN,NaN,NaN,0,0,0
1408232551,NaN,NaN,NaN,0,475.357142857,0,0,0
1408232552,3.54448160535,7.06053511706,NaN,NaN,NaN,0,0,0
1408232851,5.62233333333,5.88066666667,NaN,NaN,NaN,0,0,0
1408232853,NaN,NaN,NaN,0,522.5,0,0,0
1408233152,5.14119601329,6.97342192691,NaN,NaN,NaN,0,0,0
1408233154,NaN,NaN,NaN,0,588.928571429,0,0,0
1408233452,5.04666666667,5.67233333333,NaN,NaN,NaN,0,0,0
1408233455,NaN,NaN,NaN,0,512.5,0,0,0
1408233752,6.54033333333,7.00833333333,NaN,NaN,NaN,0,0,0
1408233756,NaN,NaN,NaN,0,506.428571429,0,0,0
1408234052,6.132,7.648,NaN,0,611.481481481,0,0,0
1408234348,NaN,NaN,NaN,0,606.785714286,0,0,0
1408234351,4.92366666667,6.521,NaN,NaN,NaN,0,0,0
1408234649,NaN,NaN,NaN,0,597.142857143,0,0,0
1408234651,3.95,5.58366666667,NaN,NaN,NaN,0,0,0
1408234951,6.087,10.849,NaN,0,704.642857143,0,0,0
1408235251,8.618,5.32066666667,NaN,0,686.428571429,0,0,0
1408235551,6.79464882943,6.84381270903,NaN,NaN,NaN,0,0,0
1408235553,NaN,NaN,NaN,0,461.428571429,0,0,0
1408235851,10.4983388704,9.57707641196,NaN,NaN,NaN,0,0,0
1408235854,NaN,NaN,NaN,0,351.785714286,0,0,0
1408236151,5.025,5.576,NaN,NaN,NaN,0,0,0
1408236155,NaN,NaN,NaN,0,206.071428571,0,0,0
1408236451,4.64933333333,5.07133333333,NaN,NaN,NaN,0,0,0
1408236455,NaN,NaN,NaN,0,199.285714286,0,0,0
1408236751,4.66766666667,6.35333333333,NaN,NaN,NaN,0,0,0
1408236752,NaN,NaN,NaN,0,200.37037037,0,0,0
1408237048,NaN,NaN,NaN,0,231.071428571,0,0,0
1408237052,5.48837209302,7.86046511628,NaN,NaN,NaN,0,0,0
1408237349,NaN,NaN,NaN,0,265.357142857,0,0,0
1408237352,5.593,5.81033333333,NaN,NaN,NaN,0,0,0
1408237650,NaN,NaN,NaN,0,210.714285714,0,0,0
1408237652,5.36889632107,5.70702341137,NaN,NaN,NaN,0,0,0
1408237951,4.68233333333,6.85466666667,NaN,0,197.5,0,0,0
1408238252,5.44916943522,6.6803986711,NaN,0,198.214285714,0,0,0
1408238552,4.45585284281,5.73444816054,NaN,NaN,NaN,0,0,0
1408238553,NaN,NaN,NaN,0,198.214285714,0,0,0
1408238851,4.586,7.011,NaN,NaN,NaN,0,0,0
1408238854,NaN,NaN,NaN,0,204.642857143,0,0,0
1408239151,5.0926910299,5.46744186047,NaN,NaN,NaN,0,0,0
1408239155,NaN,NaN,NaN,0,262.5,0,0,0
1408239451,6.26133333333,5.79433333333,NaN,NaN,NaN,0,0,0
1408239456,NaN,NaN,NaN,0,257.142857143,0,0,0
1408239751,5.026,7.746,NaN,NaN,NaN,0,0,0
1408239753,NaN,NaN,NaN,0,298.888888889,0,0,0
1408240049,NaN,NaN,NaN,0,297.142857143,0,0,0
1408240051,4.66966666667,6.557,NaN,NaN,NaN,0,0,0
1408240350,NaN,NaN,NaN,0,295.357142857,0,0,0
1408240351,5.10566666667,5.96133333333,NaN,NaN,NaN,0,0,0
1408240651,5.07,5.452,NaN,0,290.357142857,0,0,0
1408240951,4.855,6.36166666667,NaN,NaN,NaN,0,0,0
1408240952,NaN,NaN,NaN,0,298.928571429,0,0,0
1408241251,5.98633333333,5.527,NaN,NaN,NaN,0,0,0
1408241253,NaN,NaN,NaN,0,313.571428571,0,0,0
1408241551,4.50433333333,6.663,NaN,NaN,NaN,0,0,0
1408241554,NaN,NaN,NaN,0,256.428571429,0,0,0
1408241851,6.195,5.52866666667,NaN,NaN,NaN,0,0,0
1408241855,NaN,NaN,NaN,0,203.571428571,0,0,0
1408242152,4.50564784053,7.05681063123,NaN,NaN,NaN,0,0,0
1408242156,NaN,NaN,NaN,0,196.785714286,0,0,0
1408242452,4.72266666667,4.68566666667,NaN,NaN,NaN,0,0,0
1408242453,NaN,NaN,NaN,0,202.222222222,0,0,0
1408242749,NaN,NaN,NaN,0,199.285714286,0,0,0
1408242752,4.25752508361,6.0525083612,NaN,NaN,NaN,0,0,0
1408243050,NaN,NaN,NaN,0,199.285714286,0,0,0
1408243051,5.93966666667,7.95633333333,NaN,NaN,NaN,0,0,0
1408243351,NaN,NaN,NaN,0,264.642857143,0,0,0
1408243352,4.67774086379,5.57973421927,NaN,NaN,NaN,0,0,0
1408243652,6.05066666667,6.16333333333,NaN,0,266.071428571,0,0,0
1408243952,4.68662207358,6.19933110368,NaN,NaN,NaN,0,0,0
1408243953,NaN,NaN,NaN,0,202.857142857,0,0,0
1408244251,5.1657807309,5.98803986711,NaN,NaN,NaN,0,0,0
1408244254,NaN,NaN,NaN,0,197.5,0,0,0
1408244551,4.371,6.124,NaN,NaN,NaN,0,0,0
1408244555,NaN,NaN,NaN,0,195.714285714,0,0,0
1408244851,4.44533333333,6.934,NaN,0,196.666666667,0,0,0
