Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W]
1407276152,7.06933333333,3.874,NaN,NaN,NaN
1407276159,NaN,NaN,NaN,0,529.62962963
1407276452,3.71739130435,5.69297658863,NaN,NaN,NaN
1407276454,NaN,NaN,NaN,0,531.071428571
1407276751,5.13933333333,6.847,NaN,NaN,NaN
1407276755,NaN,NaN,NaN,0,547.142857143
1407277052,4.03986710963,6.44451827243,NaN,NaN,NaN
1407277056,NaN,NaN,NaN,0,527.142857143
1407277352,6.358,10.1286666667,NaN,0,536.666666667
1407277648,NaN,NaN,NaN,0,628.214285714
1407277652,4.36555183946,5.36822742475,NaN,NaN,NaN
1407277949,NaN,NaN,NaN,0,634.285714286
1407277951,5.49833887043,6.14750830565,NaN,NaN,NaN
1407278250,NaN,NaN,NaN,0,617.142857143
1407278251,3.947,5.68733333333,NaN,NaN,NaN
1407278551,4.78461538462,5.93143812709,NaN,0,617.142857143
1407278851,4.71561461794,5.4803986711,NaN,NaN,NaN
1407278852,NaN,NaN,NaN,0,613.214285714
1407279151,4.73133333333,5.44566666667,NaN,NaN,NaN
1407279152,NaN,NaN,NaN,0,558.928571429
1407279451,5.00966666667,4.93033333333,NaN,NaN,NaN
1407279453,NaN,NaN,NaN,0,541.785714286
1407279751,6.00366666667,6.038,NaN,NaN,NaN
1407279754,NaN,NaN,NaN,0,531.428571429
1407280051,9.126,8.632,NaN,NaN,NaN
1407280055,NaN,NaN,NaN,0,468.214285714
1407280351,7.813,9.98233333333,NaN,NaN,NaN
1407280356,NaN,NaN,NaN,0,414.285714286
1407280651,8.35733333333,7.717,NaN,NaN,NaN
1407280652,NaN,NaN,NaN,0,385.185185185
1407280948,NaN,NaN,NaN,0,223.214285714
1407280951,3.65933333333,5.227,NaN,NaN,NaN
1407281249,NaN,NaN,NaN,0,223.571428571
1407281251,3.938,5.40933333333,NaN,NaN,NaN
1407281550,NaN,NaN,NaN,0,221.428571429
1407281552,4.89634551495,5.0926910299,NaN,NaN,NaN
1407281851,NaN,NaN,NaN,0,220
1407281852,4.56254180602,4.61337792642,NaN,NaN,NaN
1407282151,3.90566666667,5.04933333333,NaN,NaN,NaN
1407282152,NaN,NaN,NaN,0,223.928571429
1407282452,3.39335548173,7.90996677741,NaN,NaN,NaN
1407282453,NaN,NaN,NaN,0,305.714285714
1407282752,4.14,5.38233333333,NaN,NaN,NaN
1407282753,NaN,NaN,NaN,0,320
1407283051,5.20468227425,5.94648829431,NaN,NaN,NaN
1407283054,NaN,NaN,NaN,0,338.571428571
1407283350,5.31866666667,4.51633333333,NaN,NaN,NaN
1407283355,NaN,NaN,NaN,0,316.785714286
1407283651,4.726910299,6.17109634551,NaN,NaN,NaN
1407283656,NaN,NaN,NaN,0,312.142857143
1407283951,5.63066666667,5.12433333333,NaN,NaN,NaN
1407283957,NaN,NaN,NaN,0,268.571428571
1407284251,3.732,6.37266666667,NaN,NaN,NaN
1407284253,NaN,NaN,NaN,0,219.259259259
1407284549,NaN,NaN,NaN,0,220
1407284551,3.82366666667,4.96266666667,NaN,NaN,NaN
1407284849,NaN,NaN,NaN,0,221.428571429
1407284851,4.095,5.68466666667,NaN,NaN,NaN
1407285150,NaN,NaN,NaN,1708.64285714,0
1407285151,4.14533333333,46.6283333333,NaN,NaN,NaN
1407285451,0,226.211,NaN,4436.96428571,0
1407285751,0,227.000333333,NaN,2542.60714286,0
1407286051,0,226.455333333,NaN,NaN,NaN
1407286052,NaN,NaN,NaN,4457.03571429,0
1407286351,0,225.712,NaN,NaN,NaN
1407286353,NaN,NaN,NaN,3344.07142857,0
1407286651,0,225.657333333,NaN,NaN,NaN
1407286654,NaN,NaN,NaN,3916.17857143,0
1407286951,0,225.354666667,NaN,NaN,NaN
1407286955,NaN,NaN,NaN,2126.64285714,0
1407287252,0,262.836212625,NaN,NaN,NaN
1407287256,NaN,NaN,NaN,0,1558.17857143
1407287552,0,326.933666667,NaN,NaN,NaN
1407287556,NaN,NaN,NaN,3800.03571429,0
1407287852,0,323.567333333,NaN,1675.40740741,0
1407288148,NaN,NaN,NaN,7560.60714286,0
1407288152,0,318.291,NaN,NaN,NaN
1407288449,NaN,NaN,NaN,231.607142857,0
1407288451,0,315.942,NaN,NaN,NaN
1407288750,NaN,NaN,NaN,4205.60714286,0
1407288751,0,313.998996656,NaN,NaN,NaN
1407289051,0,234.107973422,NaN,3242.32142857,0
1407289351,0,225.795,NaN,NaN,NaN
1407289352,NaN,NaN,NaN,2021.32142857,0
1407289651,0,227.298333333,NaN,NaN,NaN
1407289653,NaN,NaN,NaN,3609.42857143,0
1407289951,0,226.321,NaN,NaN,NaN
1407289954,NaN,NaN,NaN,1903.5,0
1407290251,0,225.002666667,NaN,NaN,NaN
1407290255,NaN,NaN,NaN,1048.64285714,0
1407290551,0,225.016333333,NaN,NaN,NaN
1407290556,NaN,NaN,NaN,2186.85714286,0
1407290851,0,227.827666667,NaN,2011.92592593,0
1407291148,NaN,NaN,NaN,0,1027.10714286
1407291151,0,227.813333333,NaN,NaN,NaN
1407291449,NaN,NaN,NaN,0,581.964285714
1407291451,0,227.416,NaN,NaN,NaN
1407291750,NaN,NaN,NaN,0,1474.03571429
1407291752,0,227.063787375,NaN,NaN,NaN
1407292051,NaN,NaN,NaN,1669.10714286,0
1407292052,0,227.020666667,NaN,NaN,NaN
1407292351,NaN,NaN,NaN,6414.46428571,0
1407292352,0,295.660869565,NaN,NaN,NaN
1407292651,0,328.383,NaN,NaN,NaN
1407292652,NaN,NaN,NaN,0,3143
1407292952,0,322.226245847,NaN,NaN,NaN
1407292953,NaN,NaN,NaN,714.107142857,0
1407293251,0,318.028428094,NaN,NaN,NaN
1407293254,NaN,NaN,NaN,2070.53571429,0
1407293550,0,316.010333333,NaN,NaN,NaN
1407293555,NaN,NaN,NaN,1609,0
1407293851,0,292.374418605,NaN,NaN,NaN
1407293855,NaN,NaN,NaN,0,4681.78571429
1407294151,0,224.618666667,NaN,NaN,NaN
1407294156,NaN,NaN,NaN,2253.60714286,0
1407294451,0,223.679,NaN,NaN,NaN
1407294452,NaN,NaN,NaN,0,2354.92592593
1407294748,NaN,NaN,NaN,0,3847.89285714
1407294751,0,231.051666667,NaN,NaN,NaN
1407295049,NaN,NaN,NaN,0,1598.46428571
1407295051,0,253.633,NaN,NaN,NaN
1407295350,NaN,NaN,NaN,0,5863.14285714
1407295351,0,1559.48566667,NaN,NaN,NaN
1407295651,0,4155.68566667,NaN,2834.75,0
1407295951,0,1679.75533333,NaN,NaN,NaN
1407295952,NaN,NaN,NaN,1777.75,0
1407296252,0,376.63820598,NaN,0,2923.39285714
1407296552,0,398.864666667,NaN,NaN,NaN
1407296553,NaN,NaN,NaN,0,2940.21428571
1407296718,NaN,NaN,0,NaN,NaN
1407296852,0,564.068666667,NaN,NaN,NaN
1407296854,NaN,NaN,NaN,1984.71428571,0
1407297152,0,572.169899666,NaN,NaN,NaN
1407297155,NaN,NaN,NaN,0,1698
1407297310,NaN,NaN,0,NaN,NaN
1407297452,0,581.051495017,NaN,NaN,NaN
