Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1409436152,7.55785953177,7.11939799331,NaN,NaN,NaN,0,0,0
1409436155,NaN,NaN,NaN,0,340.357142857,0,0,0
1409436451,4.58695652174,6.08662207358,NaN,0,368.888888889,0,0,0
1409436748,NaN,NaN,NaN,0,404.642857143,0,0,0
1409436751,4.84916943522,8.24318936877,NaN,NaN,NaN,0,0,0
1409437049,NaN,NaN,NaN,0,390,0,0,0
1409437051,6.26666666667,6.663,NaN,NaN,NaN,0,0,0
1409437350,NaN,NaN,NaN,0,285,0,0,0
1409437351,5.87056856187,5.72775919732,NaN,NaN,NaN,0,0,0
1409437651,5.65913621262,6.74784053156,NaN,0,258.214285714,0,0,0
1409437951,7.006,7.879,NaN,NaN,NaN,0,0,0
1409437953,NaN,NaN,NaN,0,241.785714286,0,0,0
1409438251,5.89366666667,6.81366666667,NaN,NaN,NaN,0,0,0
1409438254,NaN,NaN,NaN,0,271.071428571,0,0,0
1409438551,5.807,6.93,NaN,NaN,NaN,0,0,0
1409438555,NaN,NaN,NaN,0,258.928571429,0,0,0
1409438851,4.01366666667,6.01833333333,NaN,NaN,NaN,0,0,0
1409438856,NaN,NaN,NaN,0,223.571428571,0,0,0
1409439152,5.5073089701,7.28671096346,NaN,NaN,NaN,0,0,0
1409439153,NaN,NaN,NaN,0,229.259259259,0,0,0
1409439449,NaN,NaN,NaN,0,227.5,0,0,0
1409439452,7.35016722408,6.66989966555,NaN,NaN,NaN,0,0,0
1409439750,NaN,NaN,NaN,0,232.5,0,0,0
1409439751,5.54033333333,6.72633333333,NaN,NaN,NaN,0,0,0
1409440051,NaN,NaN,NaN,0,373.214285714,0,0,0
1409440052,5.53720930233,7.49568106312,NaN,NaN,NaN,0,0,0
1409440352,8.03066666667,11.7446666667,NaN,0,365.357142857,0,0,0
1409440652,6.45484949833,6.79933110368,NaN,NaN,NaN,0,0,0
1409440653,NaN,NaN,NaN,0,344.285714286,0,0,0
1409440951,5.54318936877,6.52325581395,NaN,NaN,NaN,0,0,0
1409440955,NaN,NaN,NaN,0,312.5,0,0,0
1409441251,6.709,6.861,NaN,NaN,NaN,0,0,0
1409441256,NaN,NaN,NaN,0,239.285714286,0,0,0
1409441551,6.59433333333,6.84633333333,NaN,NaN,NaN,0,0,0
1409441552,NaN,NaN,NaN,0,248.518518519,0,0,0
1409441848,NaN,NaN,NaN,0,245,0,0,0
1409441851,5.43166666667,6.80666666667,NaN,NaN,NaN,0,0,0
1409442149,NaN,NaN,NaN,0,204.642857143,0,0,0
1409442151,4.53933333333,5.59766666667,NaN,NaN,NaN,0,0,0
1409442450,NaN,NaN,NaN,0,120,0,0,0
1409442451,2.506,92.36,NaN,NaN,NaN,0,0,0
1409442751,0,214.994666667,NaN,NaN,NaN,0,0,0
1409442752,NaN,NaN,NaN,2202.35714286,0,0,0,0
1409443051,0,235.478333333,NaN,NaN,NaN,0,0,0
1409443053,NaN,NaN,NaN,746.642857143,0,0,0,0
1409443351,0,266.313333333,NaN,NaN,NaN,0,0,0
1409443354,NaN,NaN,NaN,1043.60714286,0,0,0,0
1409443651,0,217.358333333,NaN,NaN,NaN,0,0,0
1409443655,NaN,NaN,NaN,952.142857143,0,0,0,0
1409443952,0,302.720265781,NaN,NaN,NaN,0,0,0
1409443956,NaN,NaN,NaN,2179.85714286,0,0,0,0
1409444252,0,314.24180602,NaN,0,309.740740741,0,0,0
1409444548,NaN,NaN,NaN,1409.71428571,0,0,0,0
1409444551,0,310.378333333,NaN,NaN,NaN,0,0,0
1409444850,NaN,NaN,NaN,1617.46428571,0,0,0,0
1409444851,0,369.423333333,NaN,NaN,NaN,0,0,0
1409445151,NaN,NaN,NaN,4171.53571429,0,0,0,0
1409445152,0,250.940863787,NaN,NaN,NaN,0,0,0
1409445452,0,217.056,NaN,443,0,0,0,0
1409445752,0,217.013043478,NaN,NaN,NaN,0,0,0
1409445753,NaN,NaN,NaN,5276.60714286,0,0,0,0
1409446051,0,216.545847176,NaN,NaN,NaN,0,0,0
1409446055,NaN,NaN,NaN,0,363.142857143,0,0,0
1409446351,0,266.740333333,NaN,NaN,NaN,0,0,0
1409446356,NaN,NaN,NaN,1744.5,0,0,0,0
1409446651,0,235.955666667,NaN,NaN,NaN,0,0,0
1409446653,NaN,NaN,NaN,2047.25925926,0,0,0,0
1409446948,NaN,NaN,NaN,0,1155.67857143,0,0,0
1409446951,0,214.287666667,NaN,NaN,NaN,0,0,0
1409447249,NaN,NaN,NaN,0,1577.78571429,0,0,0
1409447251,0,213.443,NaN,NaN,NaN,0,0,0
