Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W]
1407189752,0,631.37090301,NaN,NaN,NaN
1407189754,NaN,NaN,NaN,1793.64285714,0
1407190052,0,625.271096346,NaN,NaN,NaN
1407190055,NaN,NaN,NaN,0,1148.89285714
1407190352,0,621.375333333,NaN,NaN,NaN
1407190356,NaN,NaN,NaN,1612.89285714,0
1407190651,0,571.412666667,NaN,NaN,NaN
1407190652,NaN,NaN,NaN,0,1134
1407190948,NaN,NaN,NaN,646.214285714,0
1407190951,0,535.106,NaN,NaN,NaN
1407191249,NaN,NaN,NaN,326.892857143,0
1407191251,0,535.633333333,NaN,NaN,NaN
1407191550,NaN,NaN,NaN,396.214285714,0
1407191551,0,545.892976589,NaN,NaN,NaN
1407191851,0,537.977408638,NaN,2099.53571429,0
1407192151,0,539.702666667,NaN,0,124.035714286
1407192451,0,536.887,NaN,NaN,NaN
1407192452,NaN,NaN,NaN,476.464285714,0
1407192751,0,536.531333333,NaN,NaN,NaN
1407192753,NaN,NaN,NaN,0,713.464285714
1407193051,0,539.544333333,NaN,NaN,NaN
1407193053,NaN,NaN,NaN,0,510.5
1407193351,0,544.472666667,NaN,NaN,NaN
1407193354,NaN,NaN,NaN,103.678571429,0
1407193652,0,633.026245847,NaN,NaN,NaN
1407193655,NaN,NaN,NaN,1677.67857143,0
1407193952,0,503.001,NaN,NaN,NaN
1407193956,NaN,NaN,NaN,847.214285714,0
1407194252,0,506.616,NaN,NaN,NaN
1407194253,NaN,NaN,NaN,0,974.111111111
1407194548,NaN,NaN,NaN,1371.78571429,0
1407194552,0,347.712666667,NaN,NaN,NaN
1407194849,NaN,NaN,NaN,3229.25,0
1407194852,0,323.702006689,NaN,NaN,NaN
1407195150,NaN,NaN,NaN,699.642857143,0
1407195151,0,280.489666667,NaN,NaN,NaN
1407195451,NaN,NaN,NaN,2724.67857143,0
1407195452,0,217.870431894,NaN,NaN,NaN
1407195751,0,217.04,NaN,NaN,NaN
1407195752,NaN,NaN,NaN,456.321428571,0
1407196051,0,216.639666667,NaN,NaN,NaN
1407196053,NaN,NaN,NaN,480.928571429,0
1407196351,0,217.740802676,NaN,NaN,NaN
1407196354,NaN,NaN,NaN,1349.5,0
1407196651,0,218.388372093,NaN,NaN,NaN
1407196655,NaN,NaN,NaN,230.75,0
1407196951,0,216.412666667,NaN,NaN,NaN
1407196955,NaN,NaN,NaN,0,635.428571429
1407197251,0,215.597,NaN,NaN,NaN
1407197256,NaN,NaN,NaN,170.428571429,0
1407197551,0,214.984,NaN,NaN,NaN
1407197552,NaN,NaN,NaN,0,870.185185185
1407197848,NaN,NaN,NaN,0,1970.71428571
1407197851,0,216.264666667,NaN,NaN,NaN
1407198149,NaN,NaN,NaN,780,0
1407198151,0,238.528333333,NaN,NaN,NaN
1407198450,NaN,NaN,NaN,1067.89285714,0
1407198452,0,315.759468439,NaN,NaN,NaN
1407198750,NaN,NaN,NaN,1110.57142857,0
1407198752,0,310.788294314,NaN,NaN,NaN
1407199051,0,307.027666667,NaN,960.714285714,0
1407199351,0,304.569333333,NaN,NaN,NaN
1407199352,NaN,NaN,NaN,0,222.464285714
1407199651,0,302.109666667,NaN,NaN,NaN
1407199653,NaN,NaN,NaN,192.857142857,0
1407199952,0,224.322591362,NaN,NaN,NaN
1407199954,NaN,NaN,NaN,1548.03571429,0
1407200252,0,213.689333333,NaN,NaN,NaN
1407200255,NaN,NaN,NaN,0,1796.42857143
1407200552,0,213.330333333,NaN,NaN,NaN
1407200556,NaN,NaN,NaN,0,262.75
1407200851,0,213.382608696,NaN,565.333333333,0
1407201148,NaN,NaN,NaN,0,381.142857143
1407201151,0,212.788039867,NaN,NaN,NaN
1407201448,NaN,NaN,NaN,0,23.75
1407201451,0,213.113043478,NaN,NaN,NaN
1407201749,NaN,NaN,NaN,2175.57142857,0
1407201751,0,213.69833887,NaN,NaN,NaN
1407202050,NaN,NaN,NaN,1298,0
1407202051,0,213.512,NaN,NaN,NaN
1407202351,0,222.932666667,NaN,2637.60714286,0
1407202651,0,213.339666667,NaN,NaN,NaN
1407202652,NaN,NaN,NaN,2916.71428571,0
1407202951,0,260.888,NaN,NaN,NaN
1407202953,NaN,NaN,NaN,2519.28571429,0
1407203251,0,313.583666667,NaN,NaN,NaN
1407203254,NaN,NaN,NaN,0,318.392857143
1407203551,0,308.947666667,NaN,NaN,NaN
1407203555,NaN,NaN,NaN,1979,0
1407203851,0,305.176333333,NaN,NaN,NaN
1407203855,NaN,NaN,NaN,3939.14285714,0
1407204152,0,302.327574751,NaN,NaN,NaN
1407204156,NaN,NaN,NaN,0,1401.32142857
1407204452,0,293.906,NaN,2220.88888889,0
1407204748,NaN,NaN,NaN,826.964285714,0
1407204752,0,213.560200669,NaN,NaN,NaN
1407205049,NaN,NaN,NaN,2086.14285714,0
1407205052,0,213.243189369,NaN,NaN,NaN
1407205350,NaN,NaN,NaN,0,32.6785714286
1407205352,0,213.67993311,NaN,NaN,NaN
1407205651,0,213.825666667,NaN,4140.14285714,0
1407205951,0,213.227574751,NaN,NaN,NaN
1407205952,NaN,NaN,NaN,5263.25,0
1407206251,0,213.404682274,NaN,NaN,NaN
1407206253,NaN,NaN,NaN,3092.92857143,0
1407206551,0,213.410631229,NaN,NaN,NaN
1407206554,NaN,NaN,NaN,1222.10714286,0
1407206851,0,225.821,NaN,NaN,NaN
1407206854,NaN,NaN,NaN,804.535714286,0
1407207151,0,228.7,NaN,NaN,NaN
1407207155,NaN,NaN,NaN,0,499.464285714
1407207452,0,213.788372093,NaN,NaN,NaN
1407207457,NaN,NaN,NaN,1023.21428571,0
1407207752,0,261.353177258,NaN,NaN,NaN
1407207753,NaN,NaN,NaN,0,210.148148148
1407208048,NaN,NaN,NaN,0,2274.42857143
1407208051,0,316.650333333,NaN,NaN,NaN
1407208349,NaN,NaN,NaN,83.25,0
1407208351,0,310.085333333,NaN,NaN,NaN
1407208650,NaN,NaN,NaN,2793.78571429,0
1407208651,0,352.729,NaN,NaN,NaN
1407208951,0,1418.773,NaN,1456.53571429,0
1407209252,0,1794.04717608,NaN,1166.32142857,0
1407209552,0,1795.24414716,NaN,NaN,NaN
1407209553,NaN,NaN,NaN,927.357142857,0
1407209851,0,444.214333333,NaN,NaN,NaN
1407209854,NaN,NaN,NaN,922.892857143,0
1407210151,0,439.523,NaN,NaN,NaN
1407210155,NaN,NaN,NaN,3300.64285714,0
1407210321,NaN,NaN,0,NaN,NaN
1407210452,0,481.007973422,NaN,NaN,NaN
1407210456,NaN,NaN,NaN,2253.5,0
1407210608,NaN,NaN,0,NaN,NaN
1407210752,0,472.119397993,NaN,0,610.851851852
1407211048,NaN,NaN,NaN,0,765.035714286
1407211051,0,468.401993355,NaN,NaN,NaN
1407211209,NaN,NaN,70,NaN,NaN
1407211349,NaN,NaN,NaN,0,497.321428571
1407211351,0,356.068227425,NaN,NaN,NaN
1407211575,NaN,NaN,97,NaN,NaN
1407211650,NaN,NaN,NaN,1324.53571429,0
1407211651,0,332.763122924,NaN,NaN,NaN
1407211815,NaN,NaN,136,NaN,NaN
1407211951,0,369.142140468,NaN,0,2522.28571429
