Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1408658552,7.95150501672,4.02040133779,NaN,NaN,NaN,0,0,0
1408658554,NaN,NaN,NaN,0,281.785714286,0,0,0
1408658852,3.60697674419,6.88903654485,NaN,NaN,NaN,0,0,0
1408658855,NaN,NaN,NaN,0,222.142857143,0,0,0
1408659152,4.147,6.427,NaN,NaN,NaN,0,0,0
1408659156,NaN,NaN,NaN,0,223.928571429,0,0,0
1408659452,4.49030100334,6.64882943144,NaN,0,206.666666667,0,0,0
1408659748,NaN,NaN,NaN,0,267.857142857,0,0,0
1408659752,5.0146179402,6.86146179402,NaN,NaN,NaN,0,0,0
1408660049,NaN,NaN,NaN,0,323.928571429,0,0,0
1408660052,6.909,8.33466666667,NaN,NaN,NaN,0,0,0
1408660350,NaN,NaN,NaN,0,311.428571429,0,0,0
1408660351,6.54347826087,6.0779264214,NaN,NaN,NaN,0,0,0
1408660651,2.88205980066,6.29900332226,NaN,0,300,0,0,0
1408660951,5.166,6.54933333333,NaN,NaN,NaN,0,0,0
1408660953,NaN,NaN,NaN,0,327.142857143,0,0,0
1408661251,3.811,5.29133333333,NaN,NaN,NaN,0,0,0
1408661254,NaN,NaN,NaN,0,354.642857143,0,0,0
1408661551,6.442,5.422,NaN,NaN,NaN,0,0,0
1408661555,NaN,NaN,NaN,0,254.642857143,0,0,0
1408661851,4.93,4.76166666667,NaN,NaN,NaN,0,0,0
1408661856,NaN,NaN,NaN,0,212.5,0,0,0
1408662151,7.386,4.55433333333,NaN,NaN,NaN,0,0,0
1408662152,NaN,NaN,NaN,0,209.259259259,0,0,0
1408662448,NaN,NaN,NaN,0,244.642857143,0,0,0
1408662451,3.92,8.61566666667,NaN,NaN,NaN,0,0,0
1408662750,NaN,NaN,NaN,0,275.714285714,0,0,0
1408662751,8.74566666667,9.93666666667,NaN,NaN,NaN,0,0,0
1408663051,4.276,5.95333333333,NaN,0,204.642857143,0,0,0
1408663352,3.51029900332,5.91627906977,NaN,0,206.071428571,0,0,0
1408663652,6.64782608696,6.38461538462,NaN,NaN,NaN,0,0,0
1408663653,NaN,NaN,NaN,0,205.357142857,0,0,0
1408663951,4.60366666667,6.20066666667,NaN,NaN,NaN,0,0,0
1408663954,NaN,NaN,NaN,0,259.285714286,0,0,0
1408664252,4.65149501661,5.61428571429,NaN,NaN,NaN,0,0,0
1408664256,NaN,NaN,NaN,0,243.214285714,0,0,0
1408664552,3.94066666667,5.66733333333,NaN,0,198.518518519,0,0,0
1408664848,NaN,NaN,NaN,0,201.071428571,0,0,0
