Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1409349752,0,639.91270903,NaN,0,147.37037037,0,0,0
1409350048,NaN,NaN,NaN,0,607.857142857,0,0,0
1409350051,5.18566666667,8.05466666667,NaN,NaN,NaN,0,0,0
1409350349,NaN,NaN,NaN,248.214285714,0,0,0,0
1409350351,2.36333333333,388.373333333,NaN,NaN,NaN,0,0,0
1409350650,NaN,NaN,NaN,0,138.857142857,0,0,0
1409350651,0,708.212333333,NaN,NaN,NaN,0,0,0
1409350951,0,663.088666667,NaN,868.142857143,0,0,0,0
1409351251,0,645.781333333,NaN,NaN,NaN,0,0,0
1409351252,NaN,NaN,NaN,637.321428571,0,0,0,0
1409351552,0,659.152159468,NaN,NaN,NaN,0,0,0
1409351554,NaN,NaN,NaN,831,0,0,0,0
1409351852,0,731.199331104,NaN,NaN,NaN,0,0,0
1409351855,NaN,NaN,NaN,433.857142857,0,0,0,0
1409352152,0,790.578405316,NaN,NaN,NaN,0,0,0
1409352156,NaN,NaN,NaN,0,1088.92857143,0,0,0
1409352452,0,749.286956522,NaN,1968.59259259,0,0,0,0
1409352748,NaN,NaN,NaN,0,260.464285714,0,0,0
1409352751,0,728.214,NaN,NaN,NaN,0,0,0
1409353049,NaN,NaN,NaN,0,939.178571429,0,0,0
1409353051,0,639.034666667,NaN,NaN,NaN,0,0,0
1409353351,0,636.368,NaN,0,794.035714286,0,0,0
1409353651,0,689.603322259,NaN,NaN,NaN,0,0,0
1409353652,NaN,NaN,NaN,0,1481.75,0,0,0
1409353951,0,658.098,NaN,NaN,NaN,0,0,0
1409353954,NaN,NaN,NaN,295.428571429,0,0,0,0
1409354251,0,636.42006689,NaN,NaN,NaN,0,0,0
1409354255,NaN,NaN,NaN,0,959.357142857,0,0,0
1409354551,0,619.085049834,NaN,NaN,NaN,0,0,0
1409354556,NaN,NaN,NaN,797.785714286,0,0,0,0
1409354851,0,564.9,NaN,0,809.925925926,0,0,0
1409355148,NaN,NaN,NaN,123.535714286,0,0,0,0
1409355151,0,579.34,NaN,NaN,NaN,0,0,0
1409355449,NaN,NaN,NaN,0,3232.10714286,0,0,0
1409355451,0,503.307333333,NaN,NaN,NaN,0,0,0
1409355750,NaN,NaN,NaN,0,354.214285714,0,0,0
1409355751,0,533.692,NaN,NaN,NaN,0,0,0
1409356051,0,504.403333333,NaN,0,1175.82142857,0,0,0
1409356352,0,501.799003322,NaN,0,2618.14285714,0,0,0
1409356652,0,487.340468227,NaN,NaN,NaN,0,0,0
1409356653,NaN,NaN,NaN,708.535714286,0,0,0,0
1409356951,0,419.761,NaN,NaN,NaN,0,0,0
1409356954,NaN,NaN,NaN,0,3529.21428571,0,0,0
1409357251,0,409.599666667,NaN,NaN,NaN,0,0,0
1409357256,NaN,NaN,NaN,605.928571429,0,0,0,0
1409357552,0,417.397342193,NaN,NaN,NaN,0,0,0
1409357557,NaN,NaN,NaN,889.428571429,0,0,0,0
1409357852,0,405.263210702,NaN,NaN,NaN,0,0,0
1409357853,NaN,NaN,NaN,208.703703704,0,0,0,0
1409358148,NaN,NaN,NaN,0,615.392857143,0,0,0
1409358152,0,463.200332226,NaN,NaN,NaN,0,0,0
1409358450,NaN,NaN,NaN,0,1.39285714286,0,0,0
1409358452,0,405.710367893,NaN,NaN,NaN,0,0,0
1409358751,0,418.773666667,NaN,1038.78571429,0,0,0,0
1409359051,0,396.726578073,NaN,NaN,NaN,0,0,0
1409359052,NaN,NaN,NaN,1264.35714286,0,0,0,0
1409359351,0,525.148666667,NaN,NaN,NaN,0,0,0
1409359353,NaN,NaN,NaN,259.642857143,0,0,0,0
1409359651,0,531.819666667,NaN,NaN,NaN,0,0,0
1409359654,NaN,NaN,NaN,0,407.785714286,0,0,0
1409359951,0.379666666667,447.523666667,NaN,NaN,NaN,0,0,0
