Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1408399351,0,519.373666667,NaN,61.25,0,0,0,0
1408399651,0,570.506333333,NaN,NaN,NaN,0,0,0
1408399652,NaN,NaN,NaN,0,807.285714286,0,0,0
1408399951,0,571.472,NaN,NaN,NaN,0,0,0
1408399953,NaN,NaN,NaN,289.035714286,0,0,0,0
1408400251,0,517.652333333,NaN,NaN,NaN,0,0,0
1408400254,NaN,NaN,NaN,253.178571429,0,0,0,0
1408400551,0,514.443,NaN,NaN,NaN,0,0,0
1408400556,NaN,NaN,NaN,485.5,0,0,0,0
1408400851,0,515.272666667,NaN,NaN,NaN,0,0,0
1408400852,NaN,NaN,NaN,100.185185185,0,0,0,0
1408401148,NaN,NaN,NaN,0,291.5,0,0,0
1408401151,0,526.985666667,NaN,NaN,NaN,0,0,0
1408401449,NaN,NaN,NaN,7.75,0,0,0,0
1408401451,0,558.213666667,NaN,NaN,NaN,0,0,0
1408401750,NaN,NaN,NaN,675.321428571,0,0,0,0
1408401752,0,576.785714286,NaN,NaN,NaN,0,0,0
1408402051,NaN,NaN,NaN,0,671,0,0,0
1408402052,0,530.552508361,NaN,NaN,NaN,0,0,0
1408402351,0,618.278666667,NaN,NaN,NaN,0,0,0
1408402352,NaN,NaN,NaN,10,0,0,0,0
1408402652,0,615.399667774,NaN,NaN,NaN,0,0,0
1408402653,NaN,NaN,NaN,769.107142857,0,0,0,0
1408402952,0,610.388333333,NaN,NaN,NaN,0,0,0
1408402954,NaN,NaN,NaN,568.142857143,0,0,0,0
1408403252,0,659.679,NaN,NaN,NaN,0,0,0
1408403255,NaN,NaN,NaN,1045.89285714,0,0,0,0
1408403551,0,662.002341137,NaN,442.740740741,0,0,0,0
1408403847,NaN,NaN,NaN,101.5,0,0,0,0
1408403851,0,488.805647841,NaN,NaN,NaN,0,0,0
1408404148,NaN,NaN,NaN,0,758.142857143,0,0,0
1408404151,0,375.334448161,NaN,NaN,NaN,0,0,0
1408404450,NaN,NaN,NaN,10,0,0,0,0
1408404451,0,373.855813953,NaN,NaN,NaN,0,0,0
1408404751,0,235.903,NaN,769.107142857,0,0,0,0
1408405051,0,275.676333333,NaN,NaN,NaN,0,0,0
1408405052,NaN,NaN,NaN,177.357142857,0,0,0,0
1408405351,0,244.19,NaN,NaN,NaN,0,0,0
1408405353,NaN,NaN,NaN,565.857142857,0,0,0,0
1408405651,0,213.477333333,NaN,NaN,NaN,0,0,0
1408405653,NaN,NaN,NaN,10,0,0,0,0
1408405951,0,214.168333333,NaN,NaN,NaN,0,0,0
1408405954,NaN,NaN,NaN,74.7142857143,0,0,0,0
1408406252,0,214.832890365,NaN,NaN,NaN,0,0,0
1408406255,NaN,NaN,NaN,903.035714286,0,0,0,0
1408406552,0,231.642333333,NaN,NaN,NaN,0,0,0
1408406556,NaN,NaN,NaN,742.25,0,0,0,0
1408406852,0,276.602006689,NaN,NaN,NaN,0,0,0
1408406853,NaN,NaN,NaN,0,115.037037037,0,0,0
1408407148,NaN,NaN,NaN,170.714285714,0,0,0,0
1408407152,0,239.180066445,NaN,NaN,NaN,0,0,0
1408407450,NaN,NaN,NaN,570.392857143,0,0,0,0
1408407452,0,214.522408027,NaN,NaN,NaN,0,0,0
1408407751,0,252.922333333,NaN,63.4642857143,0,0,0,0
1408408052,0,338.331229236,NaN,1048.14285714,0,0,0,0
1408408352,0,355.463,NaN,NaN,NaN,0,0,0
1408408353,NaN,NaN,NaN,0,617.535714286,0,0,0
1408408651,0,371.157525084,NaN,NaN,NaN,0,0,0
1408408654,NaN,NaN,NaN,10,0,0,0,0
1408408951,0,315.310299003,NaN,NaN,NaN,0,0,0
1408408955,NaN,NaN,NaN,1412.07142857,0,0,0,0
1408409251,0,303.681,NaN,NaN,NaN,0,0,0
1408409256,NaN,NaN,NaN,894.035714286,0,0,0,0
1408409551,0,226.443,NaN,NaN,NaN,0,0,0
1408409552,NaN,NaN,NaN,10,0,0,0,0
1408409848,NaN,NaN,NaN,10,0,0,0,0
1408409851,0,218.611666667,NaN,NaN,NaN,0,0,0
1408410149,NaN,NaN,NaN,0,298.178571429,0,0,0
1408410151,0,274.327333333,NaN,NaN,NaN,0,0,0
1408410450,NaN,NaN,NaN,262.214285714,0,0,0,0
1408410451,0,284.458862876,NaN,NaN,NaN,0,0,0
1408410751,0,215.409302326,NaN,NaN,NaN,0,0,0
1408410752,NaN,NaN,NaN,0,3.39285714286,0,0,0
1408411051,0,214.679333333,NaN,NaN,NaN,0,0,0
1408411053,NaN,NaN,NaN,10,0,0,0,0
1408411351,0,241.177,NaN,NaN,NaN,0,0,0
1408411354,NaN,NaN,NaN,0,1110.92857143,0,0,0
1408411651,0,235.22,NaN,NaN,NaN,0,0,0
1408411655,NaN,NaN,NaN,369.357142857,0,0,0,0
1408411951,0,278.036333333,NaN,10,0,0,0,0
1408412248,NaN,NaN,NaN,10,0,0,0,0
1408412252,0,250.813953488,NaN,NaN,NaN,0,0,0
1408412549,NaN,NaN,NaN,0,483.464285714,0,0,0
1408412552,0,215.358862876,NaN,NaN,NaN,0,0,0
