Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1409522549,NaN,NaN,NaN,10,0,0,0,0
1409522553,0,566.873913043,NaN,NaN,NaN,0,0,0
1409522847,NaN,NaN,NaN,93.2962962963,0,0,0,0
1409522852,0,609.152173913,NaN,NaN,NaN,0,0,0
1409523151,0,649.73654485,NaN,NaN,NaN,0,0,0
1409523152,NaN,NaN,NaN,0,108.357142857,0,0,0
1409523448,NaN,NaN,NaN,0,85.04,0,0,0
1409523451,0,644.469666667,NaN,NaN,NaN,0,0,0
1409523751,0,669.685333333,NaN,NaN,NaN,0,0,0
1409523756,NaN,NaN,NaN,0,85.04,0,0,0
1409524051,0,676.702333333,NaN,NaN,NaN,0,0,0
1409524053,NaN,NaN,NaN,10,0,0,0,0
1409524350,NaN,NaN,NaN,10,0,0,0,0
1409524351,0,611.747333333,NaN,NaN,NaN,0,0,0
1409524651,0,550.484,NaN,NaN,NaN,0,0,0
1409524657,NaN,NaN,NaN,10,0,0,0,0
1409524951,0,574.219,NaN,NaN,NaN,0,0,0
1409524952,NaN,NaN,NaN,10,0,0,0,0
1409525249,NaN,NaN,NaN,10,0,0,0,0
1409525251,0,567.189666667,NaN,NaN,NaN,0,0,0
1409525551,0,548.991,NaN,NaN,NaN,0,0,0
1409525553,NaN,NaN,NaN,190.555555556,0,0,0,0
1409525847,NaN,NaN,NaN,190.555555556,0,0,0,0
1409525851,0,546.662,NaN,NaN,NaN,0,0,0
1409526151,0,548.212333333,NaN,NaN,NaN,0,0,0
1409526155,NaN,NaN,NaN,0,15.4814814815,0,0,0
1409526449,NaN,NaN,NaN,81.7407407407,0,0,0,0
1409526451,0,613.973333333,NaN,NaN,NaN,0,0,0
1409526749,NaN,NaN,NaN,10,0,0,0,0
1409526752,0,623.32923588,NaN,NaN,NaN,0,0,0
1409527051,NaN,NaN,NaN,172.964285714,0,0,0,0
1409527052,0,650.501003344,NaN,NaN,NaN,0,0,0
1409527351,0,661.569,NaN,NaN,NaN,0,0,0
1409527354,NaN,NaN,NaN,148.357142857,0,0,0,0
