Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1410040949,NaN,NaN,NaN,472.260869565,0,0,0,0
1410040951,344.222,0,NaN,NaN,NaN,0,0,0
1410041251,346.178,0,NaN,298.434782609,0,0,0,0
1410041551,345.689,0,NaN,NaN,NaN,0,0,0
1410041555,NaN,NaN,NaN,719.681818182,0,0,0,0
1410041851,344.659,0,NaN,NaN,NaN,0,0,0
1410041867,NaN,NaN,NaN,171.727272727,0,0,0,0
1410042138,NaN,NaN,NaN,448.588235294,0,0,0,0
1410042152,375.955149502,0,NaN,NaN,NaN,0,0,0
1410042452,446.165666667,0,NaN,NaN,NaN,0,0,0
1410042453,NaN,NaN,NaN,0,490.368421053,0,0,0
1410042752,448.826086957,0,NaN,NaN,NaN,0,0,0
1410042754,NaN,NaN,NaN,821,0,0,0,0
1410043051,439.358,0,NaN,NaN,NaN,0,0,0
1410043067,NaN,NaN,NaN,518.409090909,0,0,0,0
1410043347,NaN,NaN,NaN,203.2,0,0,0,0
1410043352,436.185714286,0,NaN,NaN,NaN,0,0,0
1410043650,NaN,NaN,NaN,356.882352941,0,0,0,0
1410043652,365.4,0,NaN,NaN,NaN,0,0,0
1410043951,346.167333333,0,NaN,1535.2,0,0,0,0
1410044250,NaN,NaN,NaN,1995.22727273,0,0,0,0
1410044252,342.882724252,0,NaN,NaN,NaN,0,0,0
1410044547,NaN,NaN,NaN,1518.5,0,0,0,0
1410044552,344.470333333,0,NaN,NaN,NaN,0,0,0
1410044852,346.624333333,0,NaN,NaN,NaN,0,0,0
1410044854,NaN,NaN,NaN,410.416666667,0,0,0,0
1410045152,354.837333333,0,NaN,NaN,NaN,0,0,0
1410045163,NaN,NaN,NaN,592.1875,0,0,0,0
1410045443,NaN,NaN,NaN,1983.09090909,0,0,0,0
1410045452,344.957525084,0,NaN,NaN,NaN,0,0,0
1410045751,406.581727575,0,NaN,NaN,NaN,0,0,0
