Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W],Verbraucher 1[W],Verbraucher 2[W],Verbraucher 3[W]
1409781737,NaN,NaN,NaN,44.96,0,0,0,0
1409781752,0,744.191304348,NaN,NaN,NaN,0,0,0
1409782048,NaN,NaN,NaN,0,54.8518518519,0,0,0
1409782051,0,739.132333333,NaN,NaN,NaN,0,0,0
1409782351,0,679.024,NaN,NaN,NaN,0,0,0
1409782357,NaN,NaN,NaN,0,89.5925925926,0,0,0
1409782649,NaN,NaN,NaN,10,0,0,0,0
1409782652,0,617.585714286,NaN,NaN,NaN,0,0,0
1409782948,NaN,NaN,NaN,10,0,0,0,0
1409782952,0,615.307023411,NaN,NaN,NaN,0,0,0
1409783251,0,621.047333333,NaN,NaN,NaN,0,0,0
1409783253,NaN,NaN,NaN,10,0,0,0,0
1409783552,0,657.624252492,NaN,NaN,NaN,0,0,0
1409783556,NaN,NaN,NaN,10,0,0,0,0
1409783852,0,663.580936455,NaN,NaN,NaN,0,0,0
1409783855,NaN,NaN,NaN,10,0,0,0,0
1409784152,0,567.837541528,NaN,NaN,NaN,0,0,0
1409784155,NaN,NaN,NaN,10,0,0,0,0
1409784449,NaN,NaN,NaN,10,0,0,0,0
1409784452,0,535.585284281,NaN,NaN,NaN,0,0,0
1409784751,0,534.328903654,NaN,10,0,0,0,0
1409785051,0,546.32,NaN,NaN,NaN,0,0,0
1409785054,NaN,NaN,NaN,10,0,0,0,0
1409785351,0,604.181666667,NaN,10,0,0,0,0
1409785651,0,597.543333333,NaN,10,0,0,0,0
1409785951,0,640.134,NaN,NaN,NaN,0,0,0
1409785957,NaN,NaN,NaN,10,0,0,0,0
1409786251,0,649.728,NaN,NaN,NaN,0,0,0
1409786254,NaN,NaN,NaN,10,0,0,0,0
1409786551,0,481.728666667,NaN,NaN,NaN,0,0,0
1409786555,NaN,NaN,NaN,10,0,0,0,0
1409786851,0,517.007666667,NaN,NaN,NaN,0,0,0
1409786854,NaN,NaN,NaN,10,0,0,0,0
1409787148,NaN,NaN,NaN,10,0,0,0,0
1409787151,0,423.825666667,NaN,NaN,NaN,0,0,0
1409787451,0,252.762,NaN,NaN,NaN,0,0,0
1409787452,NaN,NaN,NaN,0,86.0357142857,0,0,0
1409787752,0,238.10730897,NaN,NaN,NaN,0,0,0
1409787753,NaN,NaN,NaN,0,93.4230769231,0,0,0
1409788052,0,224.287959866,NaN,10,0,0,0,0
1409788347,NaN,NaN,NaN,7.66666666667,0,0,0,0
1409788351,0,213.366333333,NaN,NaN,NaN,0,0,0
1409788645,NaN,NaN,NaN,10,0,0,0,0
1409788651,0,265.301666667,NaN,NaN,NaN,0,0,0
1409788948,NaN,NaN,NaN,10,0,0,0,0
1409788951,0,275.297333333,NaN,NaN,NaN,0,0,0
1409789244,NaN,NaN,NaN,10,0,0,0,0
1409789251,0,213.429666667,NaN,NaN,NaN,0,0,0
1409789545,NaN,NaN,NaN,10,0,0,0,0
1409789551,0,212.309666667,NaN,NaN,NaN,0,0,0
1409789851,0,232.590033223,NaN,10,0,0,0,0
1409790151,0,250.768,NaN,NaN,NaN,0,0,0
1409790153,NaN,NaN,NaN,10,0,0,0,0
1409790451,0,273.942140468,NaN,NaN,NaN,0,0,0
1409790456,NaN,NaN,NaN,10,0,0,0,0
1409790751,0,278.105647841,NaN,NaN,NaN,0,0,0
1409790752,NaN,NaN,NaN,10,0,0,0,0
1409791051,0,310.850333333,NaN,NaN,NaN,0,0,0
1409791056,NaN,NaN,NaN,10,0,0,0,0
1409791351,0,309.429,NaN,NaN,NaN,0,0,0
1409791354,NaN,NaN,NaN,10,0,0,0,0
1409791651,0,317.907,NaN,10,0,0,0,0
1409791945,NaN,NaN,NaN,116.444444444,0,0,0,0
1409791951,0,380.206,NaN,NaN,NaN,0,0,0
1409792250,NaN,NaN,NaN,10,0,0,0,0
1409792251,0,334.162666667,NaN,NaN,NaN,0,0,0
1409792551,0,210.330333333,NaN,NaN,NaN,0,0,0
1409792561,NaN,NaN,NaN,120.538461538,0,0,0,0
1409792852,0,211.174086379,NaN,NaN,NaN,0,0,0
1409792853,NaN,NaN,NaN,19.2222222222,0,0,0,0
1409793152,0,211.414715719,NaN,116.444444444,0,0,0,0
1409793451,0,257.790333333,NaN,NaN,NaN,0,0,0
1409793454,NaN,NaN,NaN,0,78,0,0,0
1409793750,NaN,NaN,NaN,10,0,0,0,0
1409793752,0,288.618272425,NaN,NaN,NaN,0,0,0
1409794051,NaN,NaN,NaN,10,0,0,0,0
1409794052,0,238.199,NaN,NaN,NaN,0,0,0
1409794352,0,216.580267559,NaN,NaN,NaN,0,0,0
1409794356,NaN,NaN,NaN,116.444444444,0,0,0,0
1409794651,NaN,NaN,NaN,10,0,0,0,0
1409794652,0,210.180398671,NaN,NaN,NaN,0,0,0
1409794951,NaN,NaN,NaN,10,0,0,0,0
1409794952,0,231.914333333,NaN,NaN,NaN,0,0,0
1409795251,0,272.931772575,NaN,NaN,NaN,0,0,0
1409795255,NaN,NaN,NaN,10,0,0,0,0
1409795550,0,273.071,NaN,NaN,NaN,0,0,0
1409795554,NaN,NaN,NaN,10,0,0,0,0
1409795850,NaN,NaN,NaN,10,0,0,0,0
1409795851,0,306.059136213,NaN,NaN,NaN,0,0,0
1409796151,0,332.727333333,NaN,NaN,NaN,0,0,0
1409796152,NaN,NaN,NaN,10,0,0,0,0
1409796451,0,311.584,NaN,NaN,NaN,0,0,0
1409796454,NaN,NaN,NaN,10,0,0,0,0
1409796752,0,315.612956811,NaN,NaN,NaN,0,0,0
1409796756,NaN,NaN,NaN,10,0,0,0,0
1409797052,0,342.829765886,NaN,NaN,NaN,0,0,0
1409797055,NaN,NaN,NaN,10,0,0,0,0
1409797351,0,335.649333333,NaN,10,0,0,0,0
1409797649,NaN,NaN,NaN,10,0,0,0,0
1409797651,0,247.418666667,NaN,NaN,NaN,0,0,0
1409797949,NaN,NaN,NaN,10,0,0,0,0
1409797951,0,238.686,NaN,NaN,NaN,0,0,0
1409798244,NaN,NaN,NaN,116.444444444,0,0,0,0
1409798251,0,227.938333333,NaN,NaN,NaN,0,0,0
